Version,Size,K,Cycles,Instructions,Cache-Misses,Branches,Branch-Misses,Execution-Time
naive,512,3,86211978,277780420,,41002234,134236,2.513
naive,512,5,162880537,605187536,,88441774,224009,5.617
naive,1024,3,333364964,1114482762,,159300761,962398,10.019
naive,1024,5,749033375,2428656692,,404970622,875305,24.907
naive,2048,3,1405816820,4545642517,,651149823,2498431,42.670
naive,2048,5,2877428860,9816458055,,1481237287,2790107,103.281
naive,4096,3,5157430980,18290912871,,2605302705,9947073,157.400
naive,4096,5,10177462266,39288691386,,5932922498,10783704,351.599
naive,8192,3,20621996200,72955074991,,10445669260,50499512,632.087
naive,8192,5,40933931476,157214626174,,23763073227,41823379,1038.551
simd,512,3,96299299,323156802,,45920236,201093,15.12
simd,512,5,189709594,693823793,,96860800,247108,14.75
simd,1024,3,378214218,1235060967,,176331510,857919,10.06
simd,1024,5,1044819960,2712041555,,422704024,10733160,15.19
simd,2048,3,1469239475,5033575151,,724608550,2629981,13.38
simd,2048,5,3074174337,10898974036,,1646533223,2852511,10.19
simd,4096,3,5886416272,20212999838,,2907142968,9986843,13.84
simd,4096,5,11778527608,43730842167,,6598770458,10744549,15.25
simd,8192,3,24269173675,81297220034,,11593159724,40398822,13.89
simd,8192,5,46538813145,174889197965,,26439194740,42843893,22.22
