Matrix_Size,K,Naive_Time_ms,SIMD256_Time_ms,SIMD256_Speedup
512,3,1.664,0.213,7.81
512,5,6.273,1.088,5.77
512,7,8.877,1.264,7.02
512,9,15.067,2.175,6.93
512,11,23.645,3.287,7.19
512,13,34.594,4.620,7.49
512,15,47.230,6.224,7.59
512,17,61.648,8.012,7.69
512,19,78.857,10.205,7.73
512,21,97.228,12.473,7.80
1024,3,6.672,0.967,6.90
1024,5,14.800,2.308,6.41
1024,7,35.519,5.017,7.08
1024,9,57.953,8.711,6.65
1024,11,94.453,14.879,6.35
1024,13,156.113,20.465,7.63
1024,15,193.393,24.897,7.77
1024,17,248.611,32.192,7.72
1024,19,321.487,40.961,7.85
1024,21,389.885,49.885,7.82
2048,3,26.629,4.025,6.62
2048,5,66.208,14.689,4.51
2048,7,147.830,20.090,7.36
2048,9,231.890,34.860,6.65
2048,11,377.878,52.564,7.19
2048,13,553.680,73.824,7.50
2048,15,755.887,99.526,7.59
2048,17,986.895,128.366,7.69
2048,19,1256.249,163.340,7.69
2048,21,1552.148,199.395,7.78
4096,3,114.451,15.948,7.18
4096,5,237.768,37.122,6.41
4096,7,577.425,80.728,7.15
4096,9,980.081,147.520,6.64
4096,11,1512.412,210.298,7.19
4096,13,2219.285,295.540,7.51
4096,15,3029.050,401.037,7.55
4096,17,3951.489,514.577,7.68
4096,19,5020.466,654.285,7.67
4096,21,6195.537,798.527,7.76
8192,3,425.954,64.343,6.62
8192,5,948.692,151.763,6.25
8192,7,2314.341,338.236,6.84
8192,9,3704.802,593.228,6.25
8192,11,6062.275,875.290,6.93
8192,13,8866.936,1211.875,7.32
8192,15,12102.741,1593.346,7.60
8192,17,15791.939,2056.660,7.68
8192,19,20042.105,2626.712,7.63
8192,21,24724.745,3194.636,7.74
