Matrix_Size,K,Naive_Time_ms,SIMD128_Time_ms,SIMD128_Speedup
512,3,1.832,0.327,5.60
512,5,3.753,0.908,4.13
512,7,9.040,2.124,4.26
512,9,14.487,3.663,3.95
512,11,23.630,5.952,3.97
512,13,34.596,8.647,4.00
512,15,47.227,11.821,4.00
512,17,61.647,15.931,3.87
512,19,82.005,19.963,4.11
512,21,98.609,24.051,4.10
1024,3,6.732,1.502,4.48
1024,5,14.981,3.608,4.15
1024,7,35.732,8.564,4.17
1024,9,58.016,14.615,3.97
1024,11,94.451,23.753,3.98
1024,13,138.680,34.542,4.01
1024,15,188.963,47.281,4.00
1024,17,246.738,61.735,4.00
1024,19,315.192,78.059,4.04
1024,21,389.932,96.093,4.06
2048,3,26.705,5.641,4.73
2048,5,59.396,14.769,4.02
2048,7,153.299,33.988,4.51
2048,9,231.783,58.347,3.97
2048,11,377.780,94.973,3.98
2048,13,553.948,138.227,4.01
2048,15,756.816,189.113,4.00
2048,17,987.179,247.352,3.99
2048,19,1265.558,323.525,3.91
2048,21,1550.576,384.678,4.03
4096,3,116.527,21.297,5.47
4096,5,237.532,70.835,3.35
4096,7,578.137,135.811,4.26
4096,9,931.284,235.652,3.95
4096,11,1512.934,380.188,3.98
4096,13,2215.568,553.000,4.01
4096,15,3027.664,757.692,4.00
4096,17,3959.065,989.430,4.00
4096,19,5880.596,1832.240,3.21
4096,21,6190.491,1538.827,4.02
8192,3,434.039,101.328,4.28
8192,5,1387.046,337.219,4.11
8192,7,2369.885,558.996,4.24
8192,9,4462.183,997.896,4.47
8192,11,6210.190,2221.921,2.79
8192,13,9105.179,2228.768,4.09
8192,15,12160.813,3031.485,4.01
8192,17,15889.799,4024.098,3.95
8192,19,20100.648,5012.232,4.01
8192,21,24786.059,6194.157,4.00
