K,H,W,b,speedup,L1D_misses,instructions,MPKI
3,512,512,32,0.940x,1345102,531126258,2.533
3,512,512,64,0.977x,1412857,529844137,2.667
3,512,512,128,0.973x,1478649,529206976,2.794
3,512,512,256,1.128x,1329963,520946815,2.553
3,1024,1024,32,0.946x,5532688,2113664319,2.618
3,1024,1024,64,0.972x,5730998,2108812924,2.718
3,1024,1024,128,0.977x,5938480,2106263303,2.819
3,1024,1024,256,1.122x,5365447,2073584541,2.588
3,1024,1024,512,1.131x,5002862,2073066271,2.413
3,1024,1024,640,1.135x,4993329,2073023605,2.409
3,1024,1024,768,1.135x,5008462,2072779033,2.416
3,1024,1024,896,1.134x,4981507,2072606918,2.403
3,1024,1024,960,1.135x,4814632,2072943876,2.323
3,2048,2048,32,0.910x,26019443,8446389586,3.081
3,2048,2048,64,0.962x,26522333,8426659107,3.147
3,2048,2048,128,0.956x,27534628,8417062214,3.271
3,2048,2048,256,1.068x,24979927,8286244020,3.015
3,2048,2048,512,1.066x,23798146,8283244497,2.873
3,2048,2048,640,1.071x,23738391,8284001524,2.866
3,2048,2048,768,1.079x,23366431,8283150219,2.821
3,2048,2048,896,1.093x,23517427,8283696119,2.839
3,2048,2048,960,1.074x,23627786,8283215037,2.852
3,2048,2048,1024,1.088x,23636563,8282594027,2.854
3,4096,4096,32,0.886x,110782613,33783131284,3.279
3,4096,4096,64,0.951x,111930268,33703626465,3.321
3,4096,4096,128,0.964x,116203693,33664971301,3.452
3,4096,4096,256,1.095x,106044809,33142201474,3.200
3,4096,4096,512,1.100x,100140148,33132787552,3.022
3,4096,4096,640,1.108x,100193383,33131459620,3.024
3,4096,4096,768,1.100x,99320302,33129981649,2.998
3,4096,4096,896,1.086x,98443272,33130021701,2.971
3,4096,4096,960,1.096x,98573244,33129755508,2.975
3,4096,4096,1024,1.088x,99047424,33126926948,2.990
3,4096,4096,2048,1.108x,112171933,33123844740,3.386
3,8192,8192,128,1.020x,463467836,134928107795,3.435
3,8192,8192,256,1.100x,426455919,132914910529,3.208
3,8192,8192,512,1.340x,396481122,132578267506,2.991
3,8192,8192,1024,1.080x,388243905,132541589564,2.929
3,8192,8192,2048,1.110x,451200394,132536576291,3.404
3,8192,8192,4096,1.120x,459392290,132529096408,3.466
3,16384,16384,128,0.970x,1823939210,539376277097,3.382
3,16384,16384,256,1.110x,1669513732,530727241424,3.146
3,16384,16384,512,1.120x,1573537438,530204853774,2.968
3,16384,16384,1024,1.090x,1546181159,530102875099,2.917
3,16384,16384,2048,1.100x,1807768191,530050661721,3.411
3,16384,16384,4096,1.120x,1827162105,530040029768,3.447
3,16384,16384,8192,1.130x,1822437466,530017413245,3.438
