K,H,W,b,speedup,L1D_misses,instructions,MPKI
3,2048,2048,32,0.918x,25942720,8446555410,3.071
3,2048,2048,64,0.957x,26485226,8425976103,3.143
3,2048,2048,128,0.961x,27353876,8416610397,3.250
3,2048,2048,256,1.067x,25012547,8285998279,3.019
3,2048,2048,512,1.068x,23647831,8283335460,2.855
3,2048,2048,640,1.089x,23655094,8284103885,2.855
3,2048,2048,768,1.083x,23272330,8282979574,2.810
3,2048,2048,896,1.092x,23576516,8282522930,2.847
3,2048,2048,960,1.094x,23644115,8282541878,2.855
3,2048,2048,1024,1.099x,23410592,8281998236,2.827
