block size,prefetch distance,cache level,speedup
32,8,1,4.20x
32,8,2,4.30x
32,8,3,4.27x
32,16,1,4.32x
32,16,2,4.31x
32,16,3,4.08x
64,8,1,5.26x
64,8,2,5.12x
64,8,3,5.27x
64,16,1,5.24x
64,16,2,5.24x
64,16,3,5.42x
64,32,1,5.12x
64,32,2,5.36x
64,32,3,5.41x
96,8,1,5.73x
96,8,2,5.70x
96,8,3,5.69x
96,16,1,5.64x
96,16,2,5.64x
96,16,3,5.65x
96,32,1,5.80x
96,32,2,5.70x
96,32,3,5.78x
96,64,1,5.73x
96,64,2,5.72x
96,64,3,5.75x
128,8,1,6.27x
128,8,2,6.29x
128,8,3,6.28x
128,16,1,6.33x
128,16,2,6.34x
128,16,3,6.34x
128,32,1,6.35x
128,32,2,6.37x
128,32,3,6.33x
128,64,1,6.08x
128,64,2,6.05x
128,64,3,6.06x
160,8,1,5.73x
160,8,2,5.74x
160,8,3,5.74x
160,16,1,5.87x
160,16,2,5.84x
160,16,3,5.78x
160,32,1,5.82x
160,32,2,5.84x
160,32,3,5.84x
160,64,1,5.79x
160,64,2,5.78x
160,64,3,5.77x
160,128,1,5.77x
160,128,2,5.75x
160,128,3,5.77x
192,8,1,5.80x
192,8,2,5.86x
192,8,3,5.86x
192,16,1,5.78x
192,16,2,5.76x
192,16,3,5.75x
192,32,1,5.82x
192,32,2,5.83x
192,32,3,5.86x
192,64,1,5.78x
192,64,2,5.80x
192,64,3,5.71x
192,128,1,5.75x
192,128,2,5.79x
192,128,3,5.84x
256,8,1,5.56x
256,8,2,5.60x
256,8,3,5.52x
256,16,1,5.49x
256,16,2,5.58x
256,16,3,5.53x
256,32,1,5.61x
256,32,2,5.63x
256,32,3,5.63x
256,64,1,5.63x
256,64,2,5.60x
256,64,3,5.67x
256,128,1,5.56x
256,128,2,5.49x
256,128,3,5.57x
512,8,1,5.44x
512,8,2,5.40x
512,8,3,5.42x
512,16,1,5.70x
512,16,2,5.78x
512,16,3,5.68x
512,32,1,5.75x
512,32,2,5.75x
512,32,3,5.71x
512,64,1,5.70x
512,64,2,5.73x
512,64,3,5.70x
512,128,1,5.63x
512,128,2,5.65x
512,128,3,5.62x
1024,8,1,6.13x
1024,8,2,6.13x
1024,8,3,6.09x
1024,16,1,6.13x
1024,16,2,6.08x
1024,16,3,6.15x
1024,32,1,6.14x
1024,32,2,6.17x
1024,32,3,6.15x
1024,64,1,6.16x
1024,64,2,6.14x
1024,64,3,6.14x
1024,128,1,6.12x
1024,128,2,6.11x
1024,128,3,6.11x
2000,8,1,6.10x
2000,8,2,6.15x
2000,8,3,6.14x
2000,16,1,6.14x
2000,16,2,6.14x
2000,16,3,6.17x
2000,32,1,6.17x
2000,32,2,6.16x
2000,32,3,6.11x
2000,64,1,6.15x
2000,64,2,6.16x
2000,64,3,6.11x
2000,128,1,6.16x
2000,128,2,6.17x
2000,128,3,6.11x
