block size,prefetch distance,cache level,speedup
32,8,1,8.68x
32,8,2,9.67x
32,8,3,9.50x
32,16,1,9.48x
32,16,2,9.49x
32,16,3,9.38x
64,8,1,12.86x
64,8,2,12.77x
64,8,3,12.76x
64,16,1,13.00x
64,16,2,12.95x
64,16,3,12.95x
64,32,1,13.19x
64,32,2,13.19x
64,32,3,13.08x
96,8,1,14.25x
96,8,2,14.08x
96,8,3,14.18x
96,16,1,13.80x
96,16,2,14.41x
96,16,3,14.35x
96,32,1,14.54x
96,32,2,14.62x
96,32,3,14.58x
96,64,1,14.84x
96,64,2,14.86x
96,64,3,14.90x
128,8,1,15.26x
128,8,2,15.32x
128,8,3,15.43x
128,16,1,15.72x
128,16,2,13.67x
128,16,3,15.60x
128,32,1,15.92x
128,32,2,15.76x
128,32,3,14.74x
128,64,1,14.52x
128,64,2,15.79x
128,64,3,15.38x
160,8,1,15.97x
160,8,2,15.80x
160,8,3,15.88x
160,16,1,16.37x
160,16,2,16.26x
160,16,3,16.18x
160,32,1,16.12x
160,32,2,16.22x
160,32,3,16.32x
160,64,1,16.57x
160,64,2,16.44x
160,64,3,16.33x
160,128,1,16.19x
160,128,2,16.64x
160,128,3,16.53x
192,8,1,15.76x
192,8,2,16.20x
192,8,3,15.98x
192,16,1,16.47x
192,16,2,16.76x
192,16,3,15.86x
192,32,1,16.44x
192,32,2,16.32x
192,32,3,16.62x
192,64,1,16.75x
192,64,2,16.60x
192,64,3,16.51x
192,128,1,16.37x
192,128,2,16.45x
192,128,3,16.43x
256,8,1,15.88x
256,8,2,15.86x
256,8,3,16.10x
256,16,1,16.50x
256,16,2,16.17x
256,16,3,16.02x
256,32,1,16.61x
256,32,2,16.49x
256,32,3,16.27x
256,64,1,16.46x
256,64,2,16.39x
256,64,3,16.60x
256,128,1,16.31x
256,128,2,16.22x
256,128,3,16.21x
512,8,1,16.99x
512,8,2,16.87x
512,8,3,16.97x
512,16,1,17.00x
512,16,2,17.05x
512,16,3,16.99x
512,32,1,18.22x
512,32,2,17.96x
512,32,3,18.17x
512,64,1,18.42x
512,64,2,18.64x
512,64,3,18.50x
512,128,1,18.36x
512,128,2,18.28x
512,128,3,18.17x
1024,8,1,19.72x
1024,8,2,19.77x
1024,8,3,19.84x
1024,16,1,20.23x
1024,16,2,20.24x
1024,16,3,20.20x
1024,32,1,20.71x
1024,32,2,20.84x
1024,32,3,20.70x
1024,64,1,20.98x
1024,64,2,20.86x
1024,64,3,20.93x
1024,128,1,20.22x
1024,128,2,20.28x
1024,128,3,20.43x
2000,8,1,19.75x
2000,8,2,19.83x
2000,8,3,19.67x
2000,16,1,20.32x
2000,16,2,20.30x
2000,16,3,20.09x
2000,32,1,20.69x
2000,32,2,20.70x
2000,32,3,20.59x
2000,64,1,20.94x
2000,64,2,21.01x
2000,64,3,20.91x
2000,128,1,20.18x
2000,128,2,20.39x
2000,128,3,20.37x
