H,W,K,B,prefetch_distance,cache_fill_level,L1D_misses,L2_misses,LLC_misses
256,256,256,32,8,1,8598729,94734,1659276
256,256,256,64,8,1,8665557,113931,1685448
256,256,256,128,8,1,8592308,92061,1638538
256,256,256,32,8,2,8685166,135404,323762
256,256,256,64,8,2,8601765,99428,1681280
256,256,256,128,8,2,8616486,218520,1813972
256,256,256,32,8,3,8608754,118307,1704806
256,256,256,64,8,3,8665427,137560,320038
256,256,256,128,8,3,8636256,129305,977145
256,256,256,32,16,1,8602421,122593,1737942
256,256,256,64,16,1,8740187,156256,353414
256,256,256,128,16,1,8677955,159257,356695
256,256,256,32,16,2,8618858,330983,513569
256,256,256,64,16,2,8602433,207135,1877288
256,256,256,128,16,2,8593237,169805,380119
256,256,256,32,16,3,8602224,90421,1645609
256,256,256,64,16,3,8681967,129392,320288
256,256,256,128,16,3,8599056,119090,1581460
256,256,256,64,32,1,8639543,99238,1680602
256,256,256,128,32,1,8632175,108896,1751792
256,256,256,64,32,2,8600413,129047,305957
256,256,256,128,32,2,8647610,196628,1760527
256,256,256,64,32,3,8634241,326516,513907
256,256,256,128,32,3,8601291,264421,1843541
256,256,256,128,64,1,8617647,255550,1939534
256,256,256,128,64,2,8641597,96766,1836918
256,256,256,128,64,3,8596124,105761,1642387
512,512,512,32,8,1,69626123,1254846,17194752
512,512,512,64,8,1,69572216,1303906,15803842
512,512,512,128,8,1,69783091,1256988,17524042
512,512,512,256,8,1,69572979,1264855,17255261
512,512,512,32,8,2,69570526,1267144,16780361
512,512,512,64,8,2,69584049,1216037,17095164
512,512,512,128,8,2,69602181,1233625,17381984
512,512,512,256,8,2,69408008,1519795,14451539
512,512,512,32,8,3,69581720,1263694,17221955
512,512,512,64,8,3,69606307,1336063,14812032
512,512,512,128,8,3,69688728,1402028,15483375
512,512,512,256,8,3,69478453,1264803,17176088
512,512,512,32,16,1,69512973,1224417,17050079
512,512,512,64,16,1,69611547,1242473,17169833
512,512,512,128,16,1,69579450,1236673,17141523
512,512,512,256,16,1,69876408,1516323,8739231
512,512,512,32,16,2,69560173,1294299,17198039
512,512,512,64,16,2,69675369,1372784,14586371
512,512,512,128,16,2,69597824,1241912,17248030
512,512,512,256,16,2,69666651,1241103,17292723
512,512,512,32,16,3,69601265,1254256,17318908
512,512,512,64,16,3,69607674,1223744,17135395
512,512,512,128,16,3,69672255,1315318,17364773
512,512,512,256,16,3,69658194,1263587,17333969
512,512,512,64,32,1,70000534,1562930,6859819
512,512,512,128,32,1,69590166,1409068,14680971
512,512,512,256,32,1,69945687,1600223,6264582
512,512,512,64,32,2,69560422,1275008,17276025
512,512,512,128,32,2,69505519,1740386,6558535
512,512,512,256,32,2,69928784,1637301,6254116
512,512,512,64,32,3,69523111,1263742,17243796
512,512,512,128,32,3,69937084,1591438,6277085
512,512,512,256,32,3,69979809,1839563,6572419
512,512,512,128,64,1,69636671,1368027,16061818
512,512,512,256,64,1,69974823,1594492,6278388
512,512,512,128,64,2,69609039,1366231,17101658
512,512,512,256,64,2,69601796,1241028,17208836
512,512,512,128,64,3,69761672,1800233,3677197
512,512,512,256,64,3,69637864,1254999,17297359
512,512,512,256,128,1,69574584,1253909,17472014
512,512,512,256,128,2,69587843,1268763,17122774
512,512,512,256,128,3,69616415,1302151,16194714
1024,1024,1024,32,8,1,596918713,10122497,134973757
1024,1024,1024,64,8,1,598808269,11152504,117343490
1024,1024,1024,128,8,1,595308199,9412515,147998793
1024,1024,1024,256,8,1,594705200,9299107,155887497
1024,1024,1024,512,8,1,595367420,11961600,154350404
1024,1024,1024,32,8,2,594878558,9386258,156997426
1024,1024,1024,64,8,2,595147543,9543590,150910340
1024,1024,1024,128,8,2,597973857,10719585,129003394
1024,1024,1024,256,8,2,596983634,10240322,135303478
1024,1024,1024,512,8,2,594083293,9297209,157604986
1024,1024,1024,32,8,3,597879225,10350504,122393294
1024,1024,1024,64,8,3,595123999,9801216,147783126
1024,1024,1024,128,8,3,595554856,9947599,145330603
1024,1024,1024,256,8,3,594620154,9521532,156822937
1024,1024,1024,512,8,3,595989431,9697859,142457946
1024,1024,1024,32,16,1,595142996,9327343,154935574
1024,1024,1024,64,16,1,594528799,9660828,160743531
1024,1024,1024,128,16,1,595270300,9830044,151470766
1024,1024,1024,256,16,1,596134945,10559960,144087682
1024,1024,1024,512,16,1,594697531,9389567,152080812
1024,1024,1024,32,16,2,596537910,9793290,139201364
1024,1024,1024,64,16,2,595433284,9719338,150809134
1024,1024,1024,128,16,2,595162162,9778561,151347774
1024,1024,1024,256,16,2,594492287,9421077,159729882
1024,1024,1024,512,16,2,596802066,10313168,135935200
1024,1024,1024,32,16,3,598849230,11482880,119976948
1024,1024,1024,64,16,3,594587072,9303853,159638100
1024,1024,1024,128,16,3,594794008,9682609,160510937
1024,1024,1024,256,16,3,596009663,10278180,147263409
1024,1024,1024,512,16,3,594484343,9590472,160374683
1024,1024,1024,64,32,1,597498238,10320829,132865869
1024,1024,1024,128,32,1,594807321,9689568,153746781
1024,1024,1024,256,32,1,597646156,10621552,128830174
1024,1024,1024,512,32,1,594336842,9077723,158692168
1024,1024,1024,64,32,2,595712880,9834926,146433833
1024,1024,1024,128,32,2,593899421,9380714,159395783
1024,1024,1024,256,32,2,596167566,10049024,149889051
1024,1024,1024,512,32,2,596882737,10225320,131440426
1024,1024,1024,64,32,3,596308044,9949449,143460953
1024,1024,1024,128,32,3,594139373,8995415,158765007
1024,1024,1024,256,32,3,597799788,10258184,132018382
1024,1024,1024,512,32,3,597666967,10713038,127953198
1024,1024,1024,128,64,1,594226025,9211358,160059461
1024,1024,1024,256,64,1,596406897,9963469,135707576
1024,1024,1024,512,64,1,593934594,9098335,160316027
1024,1024,1024,128,64,2,594612001,9575792,154537166
1024,1024,1024,256,64,2,595574709,9846858,143137284
1024,1024,1024,512,64,2,597949981,12339908,140811123
1024,1024,1024,128,64,3,596217249,9843422,139116360
1024,1024,1024,256,64,3,597137019,10116285,142813579
1024,1024,1024,512,64,3,594952677,9705464,160989940
1024,1024,1024,256,128,1,593854678,9332962,159340434
1024,1024,1024,512,128,1,594011712,9343373,160188175
1024,1024,1024,256,128,2,599179659,10705874,113274622
1024,1024,1024,512,128,2,594639316,9744334,157919793
1024,1024,1024,256,128,3,594433002,9319630,155772892
1024,1024,1024,512,128,3,595593941,9740002,144825052
1536,1536,1536,32,8,1,1901736514,31001226,529404401
1536,1536,1536,64,8,1,1902669056,33589965,526401604
1536,1536,1536,128,8,1,1903848278,31293019,530396360
1536,1536,1536,256,8,1,1902975204,31146538,530592002
1536,1536,1536,512,8,1,1901401894,30800377,531377154
1536,1536,1536,1024,8,1,1903945147,32150237,533113437
1536,1536,1536,32,8,2,1903191730,31449793,522403873
1536,1536,1536,64,8,2,1904120385,31298306,529350965
1536,1536,1536,128,8,2,1899216072,35739325,514375693
1536,1536,1536,256,8,2,1902077726,30224001,526678282
1536,1536,1536,512,8,2,1902116946,31387649,530832954
1536,1536,1536,1024,8,2,1900292941,30283135,528104919
1536,1536,1536,32,8,3,1901901256,30409309,530557887
1536,1536,1536,64,8,3,1901348376,30700068,529753553
1536,1536,1536,128,8,3,1901729346,30497226,530205734
1536,1536,1536,256,8,3,1901253228,30930617,527070769
1536,1536,1536,512,8,3,1901485127,30777070,529621735
1536,1536,1536,1024,8,3,1902304895,31011282,531018651
1536,1536,1536,32,16,1,1900785237,30656551,529261388
1536,1536,1536,64,16,1,1898700872,32745003,519794451
1536,1536,1536,128,16,1,1901176629,30880130,529277335
1536,1536,1536,256,16,1,1899639737,33963571,517855072
1536,1536,1536,512,16,1,1909531774,33599672,455358045
1536,1536,1536,1024,16,1,1905372035,32279277,529181489
1536,1536,1536,32,16,2,1893903063,39484653,490850304
1536,1536,1536,64,16,2,1900269927,30952215,529203718
1536,1536,1536,128,16,2,1896663572,43137116,490327353
1536,1536,1536,256,16,2,1901247659,30665658,529437667
1536,1536,1536,512,16,2,1900415758,30232367,528253402
1536,1536,1536,1024,16,2,1903165235,36044291,519109222
1536,1536,1536,32,16,3,1901324805,30384858,528380617
1536,1536,1536,64,16,3,1895533735,37028627,498927032
1536,1536,1536,128,16,3,1901600480,30580863,527336043
1536,1536,1536,256,16,3,1901448474,30799830,527606597
1536,1536,1536,512,16,3,1905851076,32754323,510847717
1536,1536,1536,1024,16,3,1901180510,30715447,528966053
1536,1536,1536,64,32,1,1901708653,31140864,529475877
1536,1536,1536,128,32,1,1902975430,31644357,529604257
1536,1536,1536,256,32,1,1902205161,31220323,530336055
1536,1536,1536,512,32,1,1901819089,30414152,528200129
1536,1536,1536,1024,32,1,1901384102,30860553,530446576
1536,1536,1536,64,32,2,1901954042,30957371,529103514
1536,1536,1536,128,32,2,1903419174,31163039,530275254
1536,1536,1536,256,32,2,1910382422,33408121,476245256
1536,1536,1536,512,32,2,1905951570,31411710,530880899
1536,1536,1536,1024,32,2,1901929572,30832006,529879470
1536,1536,1536,64,32,3,1903899575,32252336,530160146
1536,1536,1536,128,32,3,1901817477,30696449,529087740
1536,1536,1536,256,32,3,1902282454,30881707,529901062
1536,1536,1536,512,32,3,1901589435,30325051,528588163
1536,1536,1536,1024,32,3,1903406083,32148765,530833219
1536,1536,1536,128,64,1,1903186030,31132658,531380580
1536,1536,1536,256,64,1,1902603026,31234426,530848774
1536,1536,1536,512,64,1,1905245346,31510438,532113300
1536,1536,1536,1024,64,1,1901644496,30711703,529099448
1536,1536,1536,128,64,2,1902061658,30933150,530448971
1536,1536,1536,256,64,2,1901323288,30660066,530093405
1536,1536,1536,512,64,2,1903975207,31717599,532245171
1536,1536,1536,1024,64,2,1902176671,30782300,528531691
1536,1536,1536,128,64,3,1901007674,30169635,528490259
1536,1536,1536,256,64,3,1901222206,30499575,529356637
1536,1536,1536,512,64,3,1901160730,30506732,529726578
1536,1536,1536,1024,64,3,1901007574,30334929,529509857
1536,1536,1536,256,128,1,1902615148,30982792,521436017
1536,1536,1536,512,128,1,1901647593,31240383,528544896
1536,1536,1536,1024,128,1,1903072460,31387946,530231039
1536,1536,1536,256,128,2,1901029384,30286404,528837177
1536,1536,1536,512,128,2,1906013400,32511515,510014027
1536,1536,1536,1024,128,2,1911530942,34418805,471329552
1536,1536,1536,256,128,3,1908031691,34016746,533883478
1536,1536,1536,512,128,3,1910711398,33312747,483855035
1536,1536,1536,1024,128,3,1926231801,38506866,396275661
2048,2048,2048,32,8,1,2017532094,33470027,95246390
